"","Symbol","Min","Max","Average","Standard_Deviation","Covariance"
"272","CLEDUCATE",287.1,468.6,377.452673796791,50.4620638230888,2488.96709425852
"273","CLNINDIA",554.65,824.8,670.098787878788,61.7708547824302,3761.15597794749
"274","CMICABLES",134.6,293.3,196.024080882353,29.8487425962378,863.099326975255
"275","CNOVAPETRO",20.7,49.35,31.2337708830549,7.24036146002268,52.3083515804319
"276","COALINDIA",235.9,347.8,293.63797979798,26.8805099230704,712.616218132744
"277","COFFEEDAY",192.3,288.05,236.888888888889,20.00018364738,389.430347503374
"278","COLPAL",808.1,1159,963.569494949495,90.0356901161072,8032.72060309573
"279","COMPINFO",21.75,295.9,104.147154471545,87.2520661975386,7578.37917511709
"280","COMPUSOFT",8.15,21.5,12.3637373737374,2.35237909801256,5.29357040035987
"281","CONCOR",1012.8,1517.95,1270.99484848485,100.927270225792,9978.14102953625
"282","CONSOFINVT",49.6,78.15,63.610202020202,5.58066282174039,30.6014089988958
"283","CONTROLPR",229.65,525.2,318.3675066313,71.662791995097,5107.59410786091
"284","CORALFINAC",54.9,305.25,149.741443850267,83.8952759031868,6952.77475619573
"285","CORDSCABLE",37.8,149.35,78.5016161616162,29.2155700234599,856.793629697788
"286","COROMANDEL",158.9,579.25,321.823737373737,107.215765357838,11478.7077496115
"287","CORPBANK",31.3,62.45,44.050303030303,5.85170784692815,33.9752119985278
"288","COSMOFILMS",219.4,460.85,360.637373737374,48.6103803326484,2348.75043399583
"289","COUNCODOS",2.8,8.7,4.03434343434343,0.848774016571434,0.722206579969738
"290","COX&KINGS",147.35,295.15,214.604747474747,39.0017803326497,1512.98735496667
"291","CPSEETF",17.99,30.98,25.0837373737374,3.69718707655779,13.6211624401914
"292","CREATIVE",83.25,137.1,114.322602739726,9.72062876175479,99.0958672649976
"293","CREATIVEYE",3,5.15,3.8498595505618,0.454112640297035,0.196948824972306
"294","CREST",33.7,274.9,118.465154639175,63.7955131021754,4085.71784564838
"295","CRISIL",1764.1,2457.6,1992.16242424242,160.436387125705,25266.0072913753
"296","CROMPTON",130,275.5,191.99398034398,38.1119965388453,1444.66295525653
"297","CROWN",72.25,120.95,94.3226086956522,13.4848847211249,176.659307589626
"298","CTE",60.15,161.8,96.7150505050505,19.7683008723571,389.965812068049
"299","CUB",78.5,192.3,137.538686868687,29.8971386606487,897.698141618615
"300","CUBEXTUB",8,43.4,16.394921875,7.07526998952619,50.2671108028721
"301","CUMMINSIND",756.15,1066.05,886.995858585859,59.0605179059928,3440.12533792377
"302","CUPID",253.3,366.8,296.606386292835,20.4567405156665,399.621178324572
"303","CYBERTECH",34.05,97.75,64.9136363636364,14.9952033798116,222.340649613544
"304","CYIENT",375.7,590.15,493.386565656566,38.8001782510205,1464.28006042203
"305","DAAWAT",50.7,470.15,175.109191919192,103.939955812601,10757.8706410052
"306","DABUR",236.35,353.55,289.697171717172,26.0788096708222,672.840978622255
"307","DALMIABHA",621.2,3278.6,1841.21898989899,761.406288725752,578764.223487864
"308","DALMIASUG",58.1,195.7,134.012222222222,34.3748906087492,1182.20949696356
"309","DAMODARIND",67.9,138.05,89.2368563685637,17.6754349889118,312.358752338135
"310","DATAMATICS",42.75,157.25,93.7960606060606,30.5364567679297,926.582413292847
"311","DBCORP",294.55,416.1,364.940606060606,27.1450280569931,731.928553766409
"312","DBL",199.65,1031.95,448.01351744186,232.50477357803,54044.9764136128
"313","DBREALTY",33.95,58.9,43.8988888888889,5.95126494377029,34.9952071524966
"314","DBSTOCKBRO",8.45,24.4,15.7665745856354,4.57244261279791,20.9531815016605
"315","DCBBANK",69.6,210.7,137.971212121212,44.2677926275394,1955.21822828487
"316","DCM",66.55,151.75,106.293232323232,18.1229630896929,324.945572956284
"317","DCMSHRIRAM",109.85,617.5,289.532323232323,128.35774548333,16507.2228304298
"318","DCW",19.3,52.5,32.4351515151515,6.17878346509858,37.7804936204147
"319","DECCANCE",505.95,1268.85,887.009090909091,233.327098939181,54089.5467804564
"320","DEEPAKFERT",129.95,481.55,247.973535353535,90.7674207670277,8226.10363592402
"321","DEEPAKNTR",56.7,235.15,124.278282828283,47.7147345035656,2276.25122704781
"322","DEEPIND",124.2,331.4,229.953225806452,58.1804988300943,3376.71782225481
"323","DELTACORP",49.7,320.15,144.874294354839,59.3887107891561,3498.72856402737
"324","DELTAMAGNT",23.1,63.95,37.0827433628319,7.85112428323903,60.7456223490601
"325","DEN",62.45,114.65,84.9565656565657,9.67170380947278,91.4106630577025
